start_date,end_date,value,device
2024-10-28 22:54:56+01:00,2024-10-28 23:10:26+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-28 23:10:26+01:00,2024-10-28 23:28:26+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-10-28 22:54:56+01:00,2024-10-28 23:28:26+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-10-28 23:28:26+01:00,2024-10-28 23:29:56+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-10-28 23:29:56+01:00,2024-10-28 23:40:26+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-28 23:40:26+01:00,2024-10-28 23:49:56+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-10-28 23:49:56+01:00,2024-10-28 23:56:26+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-28 23:56:26+01:00,2024-10-29 00:12:26+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-10-29 00:12:26+01:00,2024-10-29 00:13:26+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-29 00:13:26+01:00,2024-10-29 00:32:26+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-10-29 00:32:26+01:00,2024-10-29 00:53:26+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-29 00:53:26+01:00,2024-10-29 00:56:56+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-10-29 00:56:56+01:00,2024-10-29 00:58:56+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-29 00:58:56+01:00,2024-10-29 01:01:26+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-10-29 01:01:26+01:00,2024-10-29 01:26:56+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-28 23:29:56+01:00,2024-10-29 01:26:56+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-10-29 01:26:56+01:00,2024-10-29 01:27:56+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-10-29 01:27:56+01:00,2024-10-29 01:56:56+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-29 01:56:56+01:00,2024-10-29 02:01:56+01:00,HKCategoryValueSleepAnalysisAsleepDeep,Apple Watch
2024-10-29 02:01:56+01:00,2024-10-29 02:13:26+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-29 02:13:26+01:00,2024-10-29 02:42:26+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-10-29 02:42:26+01:00,2024-10-29 03:23:56+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-29 01:27:56+01:00,2024-10-29 03:23:56+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-10-29 03:23:56+01:00,2024-10-29 03:24:56+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-10-29 03:24:56+01:00,2024-10-29 03:32:26+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-29 03:24:56+01:00,2024-10-29 03:32:26+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
2024-10-29 03:32:26+01:00,2024-10-29 03:32:56+01:00,HKCategoryValueSleepAnalysisAwake,Apple Watch
2024-10-29 03:32:56+01:00,2024-10-29 04:14:26+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-29 04:14:26+01:00,2024-10-29 04:36:26+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-10-29 04:36:26+01:00,2024-10-29 05:55:26+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-29 05:55:26+01:00,2024-10-29 06:16:56+01:00,HKCategoryValueSleepAnalysisAsleepREM,Apple Watch
2024-10-29 06:16:56+01:00,2024-10-29 07:07:56+01:00,HKCategoryValueSleepAnalysisAsleepCore,Apple Watch
2024-10-29 03:32:56+01:00,2024-10-29 07:07:56+01:00,HKCategoryValueSleepAnalysisInBed,Apple Watch
